column_name,column_description
timestamp,Timestamp
age_group,How old are you?
industry,What industry do you work in?
job_title,Job title
job_context,"If your job title needs additional context, please clarify here:"
annual_salary,"What is your annual salary? (You'll indicate the currency in a later question. If you are part-time or hourly, please enter an annualized equivalent -- what you would earn if you worked the job 40 hours a week, 52 weeks a year.)"
other_compensation,"How much additional monetary compensation do you get, if any (for example, bonuses or overtime in an average year)? Please only include monetary compensation here, not the value of benefits."
currency,Please indicate the currency
other_currency,"If ""Other,"" please indicate the currency here: "
income_context,"If your income needs additional context, please provide it here:"
country,What country do you work in?
state_us_only,"If you're in the U.S., what state do you work in?"
city,What city do you work in?
experience_overall,How many years of professional work experience do you have overall?
experience_field,How many years of professional work experience do you have in your field?
education,What is your highest level of education completed?
gender,What is your gender?
race,What is your race? (Choose all that apply.)
